Date,AMZN,BKR,CVX,FORD,GOOG,GOVT,IBTA.L,IEF,IEI,MRVL,NKE,SAM,SHEL,SHY,TLT,TMUS
2022-01-26,138.87249755859375,25.390949249267578,116.84861755371094,15.600000381469727,128.63075256347656,23.770002365112305,5.357999801635742,101.94657897949219,117.09202575683594,66.72151947021484,137.5733184814453,421.260009765625,45.268287658691406,77.52751159667969,126.1206283569336,101.91781616210938
2022-01-27,139.6374969482422,25.187965393066406,119.2086410522461,15.699999809265137,128.51229858398438,23.861921310424805,5.3460001945495605,102.37501525878906,117.15682983398438,63.98992919921875,138.1943817138672,415.3399963378906,45.44612121582031,77.46363067626953,128.4365692138672,103.68783569335938
2022-01-28,143.97799682617188,25.058794021606445,115.01692962646484,14.600000381469727,132.66114807128906,23.889490127563477,5.34499979019165,102.61201477050781,117.36975860595703,65.40010070800781,139.4077606201172,426.1600036621094,45.383880615234375,77.49103546142578,128.48141479492188,106.24995422363281
2022-01-31,149.57350158691406,25.31713104248047,115.65097045898438,15.300000190734863,135.05880737304688,23.880300521850586,5.3420000076293945,102.61201477050781,117.40675354003906,70.40962982177734,141.47149658203125,420.8299865722656,45.7039794921875,77.49103546142578,127.81722259521484,105.78056335449219
2022-02-01,151.19349670410156,25.372493743896484,118.69788360595703,15.899999618530273,137.22850036621094,23.837066650390625,5.34499979019165,102.47331237792969,117.3243179321289,71.41549682617188,141.6148223876953,425.07000732421875,46.842132568359375,77.48463439941406,127.3929214477539,107.13008117675781
2022-02-02,150.6125030517578,24.79123306274414,119.24386596679688,16.0,147.338623046875,23.873855590820312,5.3480000495910645,102.68315887451172,117.46326446533203,73.05244445800781,142.0830078125,414.94000244140625,47.348968505859375,77.50288391113281,127.82435607910156,107.15941619873047
2022-02-03,138.8455047607422,24.320688247680664,118.17832946777344,15.300000190734863,141.97802734375,23.800262451171875,5.339000225067139,102.2452392578125,117.18538665771484,67.67806243896484,138.83450317382812,408.6600036621094,47.93582534790039,77.43901062011719,126.82658386230469,118.11201477050781
2022-02-04,157.63949584960938,24.701570510864258,119.65779113769531,16.299999237060547,142.341796875,23.653066635131836,5.329999923706055,101.46054077148438,116.54624938964844,70.11380004882812,138.9109344482422,419.0400085449219,48.993953704833984,77.28387451171875,124.95686340332031,118.26847076416016
2022-02-07,157.9355010986328,25.574810028076172,122.00898742675781,15.699999809265137,138.28302001953125,23.653066635131836,5.330999851226807,101.4879379272461,116.601806640625,70.5772705078125,138.67210388183594,424.9700012207031,49.53635787963867,77.3021469116211,125.03775787353516,119.35395812988281
2022-02-08,161.4134979248047,25.416885375976562,120.15090942382812,15.800000190734863,138.55674743652344,23.607067108154297,5.328000068664551,101.15943908691406,116.34246826171875,75.43888854980469,137.13381958007812,443.2300109863281,48.59382629394531,77.22002410888672,124.20181274414062,122.66907501220703
2022-02-09,161.1894989013672,25.686288833618164,121.3397445678711,15.899999618530273,140.7861785888672,23.607067108154297,5.328999996185303,101.2962875366211,116.34246826171875,76.66168212890625,139.7421875,444.6099853515625,48.691627502441406,77.21090698242188,124.43550872802734,125.2507553100586
2022-02-10,159.0034942626953,25.4912052154541,119.79866027832031,16.0,137.9490966796875,23.404664993286133,5.314000129699707,100.36563110351562,115.44393157958984,72.81578826904297,138.36634826660156,439.55999755859375,48.478233337402344,76.81855010986328,122.45794677734375,122.36592102050781
2022-02-11,153.2935028076172,27.07046890258789,122.23795318603516,15.699999809265137,133.49769592285156,23.570268630981445,5.302999973297119,101.4057846069336,116.2127685546875,67.04692077636719,133.93312072753906,432.5199890136719,49.091766357421875,77.05579376220703,124.27369689941406,121.73027801513672
2022-02-14,155.16700744628906,26.513084411621094,120.35346221923828,16.299999237060547,134.66217041015625,23.459867477416992,5.302000045776367,100.7032241821289,115.71257019042969,66.81024932861328,135.28028869628906,422.3800048828125,48.3537483215332,76.89152526855469,122.72756958007812,122.73753356933594
2022-02-15,156.510498046875,26.745325088500977,119.47250366210938,16.799999237060547,135.78236389160156,23.377065658569336,5.307000160217285,100.40213775634766,115.61995697021484,73.1412124633789,139.09251403808594,422.44000244140625,47.54458999633789,76.91890716552734,121.33425903320312,124.22395324707031
2022-02-16,158.10049438476562,27.599987030029297,119.50808715820312,17.399999618530273,136.83935546875,23.441463470458984,5.308000087738037,100.61200714111328,115.85150909423828,71.09992980957031,139.96192932128906,408.1199951171875,48.051422119140625,77.019287109375,122.05339813232422,124.64445495605469
2022-02-17,154.65249633789062,27.339872360229492,118.8940658569336,17.0,131.68478393554688,23.515066146850586,5.313000202178955,101.15031433105469,116.16645050048828,66.61304473876953,136.4363555908203,397.1600036621094,47.68685531616211,77.0649185180664,122.96131896972656,121.79873657226562
2022-02-18,152.60150146484375,27.042598724365234,118.72500610351562,17.100000381469727,129.85244750976562,23.570268630981445,5.317999839782715,101.47879028320312,116.31466674804688,66.40593719482422,136.57969665527344,378.260009765625,47.3400764465332,77.07404327392578,124.25572204589844,121.24131774902344
2022-02-21,,,,,,,5.317999839782715,,,,,,,,,
2022-02-22,150.19749450683594,26.56882095336914,117.81732940673828,16.700000762939453,128.79248046875,23.57946014404297,5.311999797821045,101.46965789794922,116.2127685546875,65.77483367919922,132.0318145751953,382.75,46.833248138427734,77.00105285644531,124.57929992675781,120.78170776367188
2022-02-23,144.82699584960938,26.986860275268555,120.62040710449219,16.0,126.9835433959961,23.469064712524414,5.311999797821045,100.94044494628906,115.92561340332031,63.92091751098633,130.73239135742188,368.1499938964844,46.797672271728516,76.9554214477539,122.8624267578125,118.75743865966797
2022-02-24,151.35800170898438,26.6802978515625,119.99750518798828,15.800000190734863,132.0480499267578,23.478271484375,5.316999912261963,101.17767333984375,116.14791870117188,66.8497085571289,131.0572509765625,374.6099853515625,45.872928619384766,77.019287109375,122.9433364868164,120.92839050292969
2022-02-25,153.7884979248047,27.40489959716797,124.91842651367188,15.800000190734863,133.88534545898438,23.515066146850586,5.310999870300293,101.15031433105469,116.12013244628906,67.79638671875,132.61463928222656,380.5299987792969,48.20259094238281,77.019287109375,123.0332260131836,122.6886215209961
2022-02-28,153.56300354003906,27.29342269897461,128.13970947265625,15.699999809265137,134.255126953125,23.699068069458008,5.322000026702881,102.2999496459961,116.86119842529297,67.3822250366211,130.46490478515625,383.4599914550781,46.58427047729492,77.1561508178711,125.72994232177734,120.48833465576172
2022-03-01,151.14199829101562,26.32728385925293,133.22970581054688,15.399999618530273,133.5355224609375,23.8758487701416,5.3354997634887695,103.29630279541016,117.6388168334961,64.04908752441406,126.32782745361328,379.9599914550781,46.032981872558594,77.33412170410156,127.18357849121094,120.41008758544922
2022-03-02,152.05250549316406,28.231691360473633,137.16287231445312,16.299999237060547,134.1162567138672,23.553579330444336,5.321000099182129,101.74380493164062,116.5728988647461,66.73136138916016,129.63365173339844,393.7099914550781,48.56714630126953,77.07858276367188,122.83611297607422,122.83531951904297
2022-03-03,147.89849853515625,28.99345588684082,139.01377868652344,16.0,133.6748504638672,23.636449813842773,5.320000171661377,102.18213653564453,116.78607940673828,64.29563903808594,127.9998550415039,391.67999267578125,45.65952682495117,77.07858276367188,124.08727264404297,121.18264770507812
2022-03-04,145.64100646972656,30.860702514648438,141.17616271972656,15.699999809265137,131.49916076660156,23.783771514892578,5.323999881744385,103.19583892822266,117.34220886230469,62.53046417236328,125.62017059326172,376.1300048828125,43.916717529296875,77.16071319580078,126.22953033447266,120.50788879394531
2022-03-07,137.4530029296875,32.309913635253906,144.19277954101562,15.5,125.86833190917969,23.691694259643555,5.317999839782715,102.75748443603516,116.94366455078125,60.321529388427734,119.16584777832031,367.7200012207031,45.84625244140625,77.060302734375,125.26636505126953,119.60821533203125
2022-03-08,136.01449584960938,32.328495025634766,151.7476806640625,15.899999618530273,126.6784896850586,23.58120346069336,5.309000015258789,102.09083557128906,116.47098541259766,63.61520767211914,116.07274627685547,358.05999755859375,47.07331848144531,76.95990753173828,124.00627136230469,116.6451416015625
